title,genres,hit-list,recovery_rate,proCm1,proCm2,WriterName,DirectorName,EditorName,main_lead,co_lead1
The Machinist,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",2,164.0647,Filmax Entertainment,Castelao Producciones,Glòria Blanes,Brad Anderson,Luis de la Madrid,Christian Bale,Jennifer Jason Leigh
Kill the Messenger,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",1,49.016920000000006,The Combine,Bluegrass Films,Louis Phillips,Michael Cuesta,,Jeremy Renner,Mary Elizabeth Winstead
Rabbit Hole,"[{""id"": 18, ""name"": ""Drama""}]",2,102.58116,Olympus Pictures,,Anton Sanko,John Cameron Mitchell,Joe Klotz,Nicole Kidman,Aaron Eckhart
Party Monster,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",1,14.85796,ContentFilm,,JoJo Whilden,Randy Barbato,Jeremy Simmons,Seth Green,Macaulay Culkin
Green Room,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",1,64.40742,Film Science,Broad Green Pictures,Daniel Hammond,Jeremy Saulnier,Julia Bloch,Anton Yelchin,Imogen Poots
Atlas Shrugged Part III: Who is John Galt?,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}]",1,16.93408,Atlas 3 Productions,,James Manera,James Manera,Tony Ciccone,Eric Allan Kramer,Rob Morrow
Bottle Rocket,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",1,8.000985714285715,Gracie Films,Columbia Pictures Corporation,Ray Zimmerman,Wes Anderson,David Moritz,Luke Wilson,Owen Wilson
Tucker and Dale vs Evil,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 27, ""name"": ""Horror""}]",2,109.53586,Eden Rock Media,,Rosanne Milliken,Eli Craig,Bridget Durnford,Alan Tudyk,Tyler Labine
The Visit,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",6,1969.00124,Blumhouse Productions,Blinding Edge Pictures,Dane Wilson,M. Night Shyamalan,Luke Franco Ciarrocch,Olivia DeJonge,Ed Oxenbould
Redacted,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",1,15.642039999999998,HDNet Films,The Film Farm,Jamila Aladdin,Brian De Palma,Bill Pankow,Izzy Diaz,Rob Devaney
Soul Kitchen,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",3,357.45592,Corazón International,Biograf Jan Svěrák,Adam Bousdoukos,Fatih Akin,,Adam Bousdoukos,Birol Ünel
Sling Blade,"[{""id"": 18, ""name"": ""Drama""}]",6,2447.5416,Miramax Films,,Daniel Lanois,Billy Bob Thornton,Hughes Winborne,Billy Bob Thornton,Dwight Yoakam
The Awakening,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",1,4.370273652707715,BBC Films,Studio Canal,Lucy Enfield,Nick Murphy ,Victoria Boydell,Rebecca Hall,Dominic West
Hostel,"[{""id"": 27, ""name"": ""Horror""}]",6,1678.7277916666667,International Production Company,Raw Nerve,Karen Guthery,Eli Roth,George Folsey Jr.,Jay Hernandez,Derek Richardson
Take Shelter,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",1,61.98628000000001,Hydraulx,REI Capital,Karen Malecki,Jeff Nichols,Parke Gregg,Michael Shannon,Jessica Chastain
The Texas Chainsaw Massacre 2,"[{""id"": 27, ""name"": ""Horror""}]",2,170.7632340425532,Cannon Films,,Oscar Mitt,Tobe Hooper,Alain Jakubowicz,Dennis Hopper,Caroline Williams
Pat Garrett & Billy the Kid,"[{""id"": 37, ""name"": ""Western""}]",2,237.13116134123973,Metro-Goldwyn-Mayer (MGM),,Carl Fortina,Sam Peckinpah,Tony de Zarraga,James Coburn,Kris Kristofferson
Only God Forgives,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2,215.36222916666668,Gaumont,Wild Bunch,Matthew Newman,Nicolas Winding Refn,Matthew Newman,Ryan Gosling,Kristin Scott Thomas
Police Academy,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",6,3248.8643555555554,Warner Bros.,The Ladd Company,John L. Mack,Hugh Wilson,Robert Brown,Steve Guttenberg,Kim Cattrall
The Blue Lagoon,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",6,1307.8468,Columbia Pictures Corporation,,Henry De Vere Stacpoole,Randal Kleiser,,Brooke Shields,Christopher Atkins
Four Weddings and a Funeral,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6,4245.013866666667,Channel Four Films,PolyGram Filmed Entertainment,Gerry Bates,Mike Newell,Jon Gregory,Hugh Grant,Andie MacDowell
Fast Times at Ridgemont High,"[{""id"": 35, ""name"": ""Comedy""}]",4,602.0640000000001,Universal Pictures,Refugee Films,Janice D. Brandow,Amy Heckerling,Eric Jenkins,Sean Penn,Jennifer Jason Leigh
Moby Dick,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",2,231.1111111111111,Warner Bros.,Moulin Productions Inc.,Philip Sainton,John Huston,Russell Lloyd,Gregory Peck,Richard Basehart
25th Hour,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",1,87.07228666666667,40 Acres & A Mule Filmworks,Touchstone Pictures,Rolf Pardula,Spike Lee,Barry Alexander Brown,Edward Norton,Philip Seymour Hoffman
Bound,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",2,155.80704444444444,Dino De Laurentiis Company,Spelling Films,Stuart Boros,Lana Wachowski,Zach Staenberg,Jennifer Tilly,Gina Gershon
Requiem for a Dream,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",2,164.22462222222222,Artisan Entertainment,,Brian Emrich,Darren Aronofsky,Jay Rabinowitz,Ellen Burstyn,Jared Leto
Moms' Night Out,"[{""id"": 35, ""name"": ""Comedy""}]",2,208.59413999999998,TriStar Pictures,Provident Films,Joshua Walsh,Andrew Erwin,Jonathan Olive,Sarah Drew,Sean Astin
Donnie Darko,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",1,21.17536666666667,Pandora Cinema,Flower Films,Kim Percival,Richard Kelly,Eric Strand,Jake Gyllenhaal,Jena Malone
Life During Wartime,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",1,16.551466666666666,Werc Werk Works,,Tere López,Todd Solondz,,Ally Sheedy,Paul Reubens
After.Life,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",1,80.14211111111112,Plum Pictures,Harbor Light Entertainment,Veronica Lupu,Agnieszka Wojtowicz-Vosloo,Niven Howie,Liam Neeson,Justin Long
One Flew Over the Cuckoo's Nest,"[{""id"": 18, ""name"": ""Drama""}]",6,3632.709166666667,United Artists,Fantasy Films,Kyle T. MacDowell,Miloš Forman,Sheldon Kahn,Jack Nicholson,Louise Fletcher
Airlift,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",4,711.1111111111111,T-Series,Hari Om Entertainment Co.,Arijit Dutta,Raja Menon,Hemanti Sarkar,Akshay Kumar,Nimrat Kaur
The Sweeney,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",2,168.72164589197158,Vertigo Films,Exponential Films,Toby Rushton,Nick Love,James Herbert,Ray Winstone,Ben Drew
Whale Rider,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",4,517.5,South Pacific Pictures,,Frank Hübner,Niki Caro,David Coulson,Keisha Castle-Hughes,Rawiri Paratene
Night Watch,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",4,761.9047619047618,Bazelevs Production,Channel One Russia,Dmitriy Kiselev,Timur Bekmambetov,Dmitriy Kiselev,Konstantin Khabenskiy,Vladimir Menshov
The Crying Game,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",6,1687.9855772630049,Miramax Films,Channel Four Films,Ian Wilson,Neil Jordan,Kant Pan,Stephen Rea,Jaye Davidson
Porky's,"[{""id"": 35, ""name"": ""Comedy""}]",6,3143.20645,Melvin Simon Productions,Astral Bellevue Pathé,Martin L. Gillen,Bob Clark,Stan Cole,Dan Monahan,Mark Herrier
Night of the Living Dead,"[{""id"": 27, ""name"": ""Horror""}]",6,26315.789473684206,Laurel Group,Off Color Films,Karl Hardman,George A. Romero,George A. Romero,Duane Jones,Judith O'Dea
Lost in Translation,"[{""id"": 18, ""name"": ""Drama""}]",6,2993.0964,American Zoetrope,,Roger Joseph Manning Jr.,Sofia Coppola,Sarah Flack,Bill Murray,Scarlett Johansson
Annie Hall,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",5,956.285625,United Artists,,James Pilcher,Woody Allen,Wendy Greene Bricmont,Woody Allen,Diane Keaton
The Greatest Show on Earth,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",5,900.0,Paramount Pictures,,Theodore St. John,Cecil B. DeMille,,Betty Hutton,Cornel Wilde
Monster's Ball,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",5,1122.73715,Lions Gate Films,Lee Daniels Entertainment,Sterfon Demings,Marc Forster,Matt Chesse,Halle Berry,Billy Bob Thornton
Maggie,"[{""id"": 27, ""name"": ""Horror""}]",1,4.6778,Lionsgate,Grindstone Entertainment Group,Isaiah Duncan,Henry Hobson,Jane Rizzo,Arnold Schwarzenegger,Abigail Breslin
Leaving Las Vegas,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6,1383.3333333333335,United Artists,Intial Productions,John O'Brien,Mike Figgis,John Smith,Nicolas Cage,Elisabeth Shue
The Boy Next Door,"[{""id"": 53, ""name"": ""Thriller""}]",6,1310.646375,Universal Pictures,Nuyorican Productions,Casey Rieboldt,Rob Cohen,Michel Aller,Jennifer Lopez,Ryan Guzman
Trapeze,"[{""id"": 18, ""name"": ""Drama""}]",3,360.0,Joanna Productions,,Max Catto,Carol Reed,,Burt Lancaster,Tony Curtis
The Kids Are All Right,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",5,991.5957142857144,Mandalay Vision,10th Hole Productions,Jordan Horowitz,Lisa Cholodenko,Jeffrey M. Werner,Julianne Moore,Annette Bening
They Live,"[{""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",3,325.22319999999996,Universal Pictures,Alive Films,Marian Shambo,John Carpenter,Frank E. Jimenez,Roddy Piper,Keith David
The Great Escape,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",3,293.611775,United Artists,The Mirisch Corporation,W.R. Burnett,John Sturges,Ferris Webster,Steve McQueen,James Garner
The Last Exorcism Part II,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",3,303.58603999999997,StudioCanal,CBS Films,Ed Gass-Donnelly,Ed Gass-Donnelly,,Ashley Bell,Julia Garner
Boyhood,"[{""id"": 18, ""name"": ""Drama""}]",5,1108.725,IFC Films,Detour Filmproduction,Nick Smith,Richard Linklater,Sandra Adair,Ellar Coltrane,Patricia Arquette
Scoop,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 9648, ""name"": ""Mystery""}]",4,789.622525,BBC Films,Ingenious Film Partners,Philippa Hart,Woody Allen,Alisa Lepselter,Scarlett Johansson,Hugh Jackman
The Wash,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",2,146.1333,Lionsgate,,Camille Friend,DJ Pooh,,Dr. Dre,Snoop Dogg
3 Strikes,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2,150.0,,,DJ Pooh,DJ Pooh,,Brian Hooks,N'Bushe Wright
The Misfits,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}]",2,204.99999999999997,United Artists,Seven Arts Productions,Frank E. Taylor,John Huston,George Tomasini,Clark Gable,Marilyn Monroe
Topaz,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",2,150.0,Universal Pictures,,Wallace Worsley Jr.,Alfred Hitchcock,William H. Ziegler,Frederick Stafford,Dany Robin
Let's Go to Prison,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",2,115.751125,Universal Pictures,,Susan Kaufmann,Bob Odenkirk,Dennis Thorlaksen,Dax Shepard,Will Arnett
Four Rooms,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 35, ""name"": ""Comedy""}]",2,107.5,Miramax Films,A Band Apart,Jan D. Tys,Quentin Tarantino,Margaret Goodspeed,Tim Roth,Antonio Banderas
Secretary,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2,232.61522499999998,Slough Pond,double A Films,Marjorie Bowers,Steven Shainberg,Pam Wise,James Spader,Maggie Gyllenhaal
Talk Radio,"[{""id"": 18, ""name"": ""Drama""}]",1,86.7143,Cineplex-Odeon Films,Ten-Four Productions,Greg Strangis,Oliver Stone,David Brenner,Eric Bogosian,Ellen Greene
You Kill Me,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10749, ""name"": ""Romance""}]",1,60.671275,Echo Lake Productions,Bi-polar Pictures,Linda Madden,John Dahl,Scott Chestnut,Ben Kingsley,Téa Leoni
Red State,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",1,27.61705,The Harvey Boys,NVSH Productions,Tricia Wood,Kevin Smith,Kevin Smith,Michael Parks,John Goodman
Mirrormask,"[{""id"": 14, ""name"": ""Fantasy""}]",1,21.674975,Destination Films,"Jim Henson Company, The",Dave McKean,Dave McKean,,Stephanie Leonidas,Jason Barry
Joe,"[{""id"": 18, ""name"": ""Drama""}]",1,59.136675000000004,Worldview Entertainment,Muskat Filmed Properties,Robbie Friedmann,David Gordon Green,Colin Patton,Nicolas Cage,Tye Sheridan
Shooting Fish,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",1,10.073466666666667,Arts Council of England,National Lottery,Stefan Schwartz,Stefan Schwartz,,Dan Futterman,Stuart Townsend
Prison,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",1,27.28492307692308,Empire Pictures,,Anthony Barnao,Renny Harlin,Andy Horvitch,Viggo Mortensen,Chelsea Field
Trust,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1,1.263157894736842,Nu Image Films,Millennium Films,Vicki Stefanopoulos,David Schwimmer,Douglas Crise,Clive Owen,Catherine Keener
Adore,"[{""id"": 18, ""name"": ""Drama""}]",1,1.9936375,Gaumont,Ciné@,Ceinwen Berry,Anne Fontaine,Ceinwen Berry,Naomi Watts,Robin Wright
Mondays in the Sun,"[{""id"": 18, ""name"": ""Drama""}]",1,3.66005,Vía Digital,Eurimages,Alfredo Mayo,Fernando León de Aranoa,Nacho Ruiz Capillas,Javier Bardem,Luis Tosar
Stake Land,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",1,5.114615384615385,Glass Eye Pix,Belladonna Productions,Amanda Williams,Jim Mickle,,Danielle Harris,Kelly McGillis
Another Happy Day,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",1,8.8922,Filmula,,Wendy M. Craig,Sam Levinson,,Ellen Barkin,Ezra Miller
A Lonely Place to Die,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",4,633.625,Carnaby International,Molinare Studios,Michael Loveday,Julian Gilbey,,Melissa George,Ed Speleers
Hell's Angels,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",2,202.53164556962025,The Caddo Company,,Howard Estabrook,Edmund Goulding,,Ben Lyon,James Hall
A Man for All Seasons,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",4,726.9230769230769,Columbia Pictures Corporation,Highland Films,Joan Bridge,Fred Zinnemann,Ralph Kemplen,Paul Scofield,Wendy Hiller
Network,"[{""id"": 18, ""name"": ""Drama""}]",4,623.4178157894737,United Artists,Metro-Goldwyn-Mayer (MGM),Susan Germaine,Sidney Lumet,Alan Heim,Faye Dunaway,William Holden
Gone with the Wind,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",6,10004.411475,Selznick International Pictures,Metro-Goldwyn-Mayer (MGM),Paul Stanhope,Victor Fleming,James E. Newcom,Vivien Leigh,Clark Gable
Major Dundee,"[{""id"": 10752, ""name"": ""War""}, {""id"": 37, ""name"": ""Western""}]",1,0.39139473684210524,Columbia Pictures Corporation,Jerry Bresler Productions,Donald W. Starling,Sam Peckinpah,Donald W. Starling,Charlton Heston,Richard Harris
Annie Get Your Gun,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 37, ""name"": ""Western""}]",2,212.2700021359669,Metro-Goldwyn-Mayer (MGM),,Sidney Sheldon,George Sidney,,Betty Hutton,Howard Keel
Four Lions,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",3,441.25883809417513,Film4,Drafthouse Films,Jonathan Whitehead,Chris Morris,Billy Sneddon,Riz Ahmed,Nigel Lindsay
Defendor,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",1,1.2703428571428572,Alliance Films,Darius Films,John Rowley,Peter Stebbings,Geoff Ashenhurst,Woody Harrelson,Kat Dennings
The Pirate,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",1,79.8918918918919,Metro-Goldwyn-Mayer (MGM),,Albert Hackett,Vincente Minnelli,,Judy Garland,Gene Kelly
The History Boys,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",3,335.04879999999997,DNA Films,BBC Films,Julia Stannard,Nicholas Hytner,John Wilson,Samuel Anderson,Dominic Cooper
Midnight Cowboy,"[{""id"": 18, ""name"": ""Drama""}]",5,1244.02925,United Artists,Florin Productions,Hal Schaffel,John Schlesinger,Hugh A. Robertson,Dustin Hoffman,Jon Voight
The Full Monty,"[{""id"": 35, ""name"": ""Comedy""}]",6,7367.146342857142,Channel Four Films,Twentieth Century Fox Film Corporation,Paul Bucknor,Peter Cattaneo,David Freeman,Robert Carlyle,Mark Addy
Airplane!,"[{""id"": 35, ""name"": ""Comedy""}]",6,2384.386828571429,Paramount Pictures,,Patrick Kennedy,David Zucker,Patrick Kennedy,Robert Hays,Julie Hagerty
Friday,"[{""id"": 35, ""name"": ""Comedy""}]",4,806.1690857142856,New Line Cinema,,DJ Pooh,F. Gary Gray,,Ice Cube,Chris Tucker
Menace II Society,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]",4,797.1428571428571,New Line Cinema,,Christopher Koefoed,Allen Hughes,Christopher Koefoed,Tyrin Turner,Larenz Tate
Creepshow 2,"[{""id"": 27, ""name"": ""Horror""}]",3,400.0,New World Pictures,Laurel Entertainment Inc.,Richard Hart,Michael Gornick,Peter Weatherley,George Kennedy,Dorothy Lamour
The Ballad of Cable Hogue,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 37, ""name"": ""Western""}]",2,134.51903794136368,Warner Bros.,,Leroy Coleman,Sam Peckinpah,Frank Santillo,Jason Robards,Stella Stevens
In Cold Blood,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",3,371.6443142857143,Columbia Pictures Corporation,Pax Enterprises,Quincy Jones,Richard Brooks,,Robert Blake,Scott Wilson
The Nun's Story,"[{""id"": 18, ""name"": ""Drama""}]",3,365.7142857142857,Warner Bros.,,Maurice Barnathan,Fred Zinnemann,Walter Thompson,Audrey Hepburn,Peter Finch
Harper,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",3,342.85714285714283,Warner Bros.,,Paul Baxley,Jack Smight,Stefan Arnsten,Paul Newman,Lauren Bacall
Frenzy,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",3,360.0,Universal Pictures,,Syd Cain,Alfred Hitchcock,John Jympson,Jon Finch,Alec McCowen
The Witch,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 27, ""name"": ""Horror""}]",5,1154.969857142857,Parts and Labor,RT Features,Ethan Lazar,Robert Eggers,Louise Ford,Anya Taylor-Joy,Ralph Ineson
She's the One,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",3,270.93082857142855,Fox Searchlight Pictures,,Tom Petty,Edward Burns,Susan Graef,Edward Burns,Michael McGlone
Gods and Monsters,"[{""id"": 18, ""name"": ""Drama""}]",1,64.51628000000001,Lions Gate Films,Flashpoint (I),Paul Colichman,Bill Condon,,Ian McKellen,Brendan Fraser
The Secret in Their Eyes,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]",6,1698.29215,100 Bares,Haddock Films S.R.L.,Daniel Hermo,Juan José Campanella,Juan José Campanella,Ricardo Darín,Soledad Villamil
Evil Dead II,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}]",2,164.529,Renaissance Films,Rosebud Productions,Bryant Tausek,Sam Raimi,Kaye Davis,Bruce Campbell,Sarah Berry
Troll Hunter,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 27, ""name"": ""Horror""}]",2,118.84794285714287,Filmkameratene A/S,Film Fund FUZZ,Daniel Angyal,André Øvredal,Perry Eriksen,Otto Jespersen,Hans Morten Hansen
Winter Passing,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",1,3.250942857142857,Yari Film Group,Stratus Film Co.,Adam Rapp,Adam Rapp,,Zooey Deschanel,Will Ferrell
High Anxiety,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]",5,913.6187647058824,Twentieth Century Fox Film Corporation,Crossbow Productions,Peter Wooley,Mel Brooks,John C. Howard,Mel Brooks,Madeline Kahn
March of the Penguins,"[{""id"": 99, ""name"": ""Documentary""}, {""id"": 10751, ""name"": ""Family""}]",6,1592.4029875,Wild Bunch,Canal+,Émilie Simon,Jérôme Maison,Sabine Emiliani,Morgan Freeman,Charles Berling
Margin Call,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",4,557.2582571428571,Benaroya Pictures,Before the Door Pictures,Tim Elder,J.C. Chandor,Pete Beaudreau,Kevin Spacey,Paul Bettany
Choke,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",2,127.67123333333332,Fox Searchlight Pictures,Contrafilm,Stacey Panepinto,Clark Gregg,Joe Klotz,Sam Rockwell,Anjelica Huston
Whiplash,"[{""id"": 18, ""name"": ""Drama""}]",3,396.72727272727275,Bold Films,Blumhouse Productions,John To,Damien Chazelle,Tom Cross,Miles Teller,J.K. Simmons
City of God,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",5,928.5384848484849,O2 Filmes,VideoFilmes,Pablo Hoffmann,Kátia Lund,Daniel Rezende,Alexandre Rodrigues,Leandro Firmino
Human Traffic,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",4,666.6666666666667,Irish Screen,,Emer McCourt,Justin Kerrigan,,John Simm,Danny Dyer
The Hunt,"[{""id"": 18, ""name"": ""Drama""}]",3,442.1052631578948,Zentropa Entertainments,Det Danske Filminstitut,Bettina Lervig,Thomas Vinterberg,Anne Østerud,Mads Mikkelsen,Alexandra Rapaport
The Opposite Sex,"[{""id"": 35, ""name"": ""Comedy""}]",1,1.3636363636363635,Magna Global Entertainment,Verdi Productions,Mark Mussina,Jennifer Finnigan,,Mena Suvari,Eric Roberts
Dreaming of Joseph Lees,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",1,0.00035,Fox Entertainment Group,,Mark Thomas,Eric Styles,,Rupert Graves,Samantha Morton
Rosemary's Baby,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",5,1043.6070625,Paramount Pictures,William Castle Productions,Ira Levin,Roman Polanski,Bob Wyman,Mia Farrow,John Cassavetes
